Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Kevin Newman,29,0,Maj-NL,Cincinnati,66,228,202,25,53,15,0,3,28,16,0,29,3,2,5,6,7,1,0.262,0.319,0.381,0.7,621028
Tom\xc3\xa1s Nido,29,57,Maj-NL,New York,22,61,56,5,7,0,0,0,1,2,0,18,0,2,1,2,0,0,0.125,0.153,0.125,0.278,621512
Brandon Nimmo,30,0,Maj-NL,New York,103,466,399,61,102,17,4,15,47,52,0,105,10,1,4,2,3,2,0.256,0.353,0.431,0.784,607043
Ryan Noda,27,12,Maj-AL,Oakland,90,341,275,43,63,17,1,11,38,60,1,116,5,0,1,1,2,1,0.229,0.375,0.418,0.794,676116
Austin Nola,33,15,Maj-NL,San Diego,52,154,130,9,19,3,0,1,8,18,0,31,2,4,0,5,0,0,0.146,0.26,0.192,0.452,543592
Lars Nootbaar,25,0,Maj-NL,St. Louis,76,327,275,52,75,14,0,10,34,48,2,69,0,1,3,4,7,1,0.273,0.377,0.433,0.81,663457
Ryan O\'Hearn,29,0,Maj-AL,Baltimore,61,197,181,25,55,13,0,9,36,11,1,44,2,0,3,1,1,1,0.304,0.345,0.525,0.87,656811
Logan O\'Hoppe,23,101,Maj-AL,Los Angeles,16,59,53,5,15,2,0,4,13,4,0,15,1,0,1,2,0,0,0.283,0.339,0.547,0.886,681351
Tyler O\'Neill,28,0,Maj-NL,St. Louis,39,140,126,16,32,8,0,2,10,14,0,42,0,0,0,3,2,0,0.254,0.329,0.365,0.694,641933
Rougned Odor,29,14,Maj-NL,San Diego,59,157,138,21,29,10,0,4,18,17,0,37,2,0,0,2,2,1,0.21,0.306,0.37,0.675,596059
Shohei Ohtani,28,0,Maj-AL,Los Angeles,104,467,391,81,118,17,7,39,81,66,12,109,2,0,3,7,12,4,0.302,0.403,0.68,1.083,660271
Chris Okey,28,77,Maj-AL,Los Angeles,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,608360
Edward Olivares,27,1,Maj-AL,Kansas City,75,274,252,35,62,15,4,6,19,14,1,46,6,0,2,4,8,3,0.246,0.299,0.409,0.708,658668
Matt Olson,29,0,Maj-NL,Atlanta,103,460,394,79,102,19,2,35,88,61,2,123,3,0,2,8,1,0,0.259,0.361,0.584,0.945,621566
Joey Ortiz,24,37,Maj-AL,Baltimore,15,34,33,4,7,1,0,0,4,0,0,9,0,0,1,2,0,0,0.212,0.206,0.242,0.448,687401
James Outman,26,0,Maj-NL,Los Angeles,98,358,310,52,77,12,3,12,44,39,1,117,7,0,2,0,12,2,0.248,0.344,0.423,0.766,681546
Chris Owings,31,60,Maj-NL,Pittsburgh,10,25,25,0,4,0,0,0,0,0,0,12,0,0,0,1,0,0,0.16,0.16,0.16,0.32,572008
Marcell Ozuna,32,0,Maj-NL,Atlanta,87,349,313,45,74,10,0,22,49,33,1,82,1,0,2,7,0,0,0.236,0.31,0.479,0.789,542303
Cristian Pache,24,21,Maj-NL,Philadelphia,32,53,49,8,16,7,0,2,8,3,0,12,0,1,0,1,1,0,0.327,0.365,0.592,0.957,665506
Kevin Padlo,26,36,Maj-AL,Los Angeles,3,8,8,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.125,0.125,0.25,0.375,656821
Josh Palacios,27,0,Maj-NL,Pittsburgh,44,117,111,10,28,8,1,2,15,4,0,17,1,1,0,5,2,0,0.252,0.285,0.396,0.681,641943
Isaac Paredes,24,0,Maj-AL,Tampa Bay,94,354,303,47,77,15,0,20,62,37,0,64,13,0,1,5,1,0,0.254,0.359,0.502,0.861,670623
