Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Spencer Steer,25,0,Maj-NL,Cincinnati,102,432,378,50,103,20,2,15,58,44,0,86,7,0,3,6,9,2,0.273,0.357,0.455,0.812,668715
Michael Stefanic,27,0,Maj-AL,Los Angeles,11,25,21,3,4,1,0,0,3,4,0,2,0,0,0,0,0,0,0.191,0.32,0.238,0.558,683021
Tyler Stephenson,26,0,Maj-NL,Cincinnati,98,380,337,45,84,14,1,7,37,38,1,101,4,0,1,10,0,1,0.249,0.332,0.359,0.691,663886
Cal Stevenson,26,83,Maj-NL,San Francisco,6,12,9,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25,670276
DJ Stewart,29,1,Maj-NL,New York,12,25,20,2,4,1,0,1,2,3,0,7,1,0,1,0,1,0,0.2,0.32,0.4,0.72,621466
Bryson Stott,25,1,Maj-NL,Philadelphia,98,418,386,51,118,20,2,9,37,24,1,67,3,0,5,8,19,2,0.306,0.347,0.438,0.785,681082
Kyle Stowers,25,77,Maj-AL,Baltimore,14,33,30,1,2,0,0,0,0,3,0,12,0,0,0,1,0,0,0.067,0.152,0.067,0.218,669065
Myles Straw,28,0,Maj-AL,Cleveland,103,380,341,40,80,15,3,0,19,33,0,78,1,3,2,9,12,3,0.235,0.302,0.296,0.599,664702
Garrett Stubbs,30,0,Maj-NL,Philadelphia,24,67,59,8,12,1,1,0,4,5,0,17,2,1,0,0,0,0,0.203,0.288,0.254,0.542,596117
Eugenio Su\xc3\xa1rez,31,0,Maj-AL,Seattle,105,448,381,42,86,17,0,14,64,46,0,129,12,0,9,6,1,1,0.226,0.321,0.381,0.702,553993
Brett Sullivan,29,63,Maj-NL,San Diego,21,49,47,4,8,3,0,1,5,1,0,13,0,0,1,0,0,0,0.17,0.184,0.298,0.482,664954
Jack Suwinski,24,1,Maj-NL,Pittsburgh,91,336,280,42,64,14,0,21,52,47,0,110,5,0,4,1,7,1,0.229,0.345,0.504,0.849,669261
Seiya Suzuki,28,0,Maj-NL,Chicago,87,371,325,39,82,16,2,8,34,40,1,92,2,0,4,6,5,6,0.252,0.334,0.388,0.722,673548
Dansby Swanson,29,0,Maj-NL,Chicago,91,401,354,47,93,16,2,12,44,43,0,96,3,0,1,6,4,1,0.263,0.347,0.421,0.768,621020
Raimel Tapia,29,9,"Maj-AL,Maj-NL","Boston,Milwaukee",58,158,139,24,32,4,1,3,13,15,0,39,1,1,1,2,8,2,0.23,0.308,0.338,0.646,606132
Fernando Tatis Jr.,24,0,Maj-NL,San Diego,86,395,360,59,99,23,1,18,53,29,0,77,3,1,2,10,17,3,0.275,0.333,0.494,0.827,665487
Mike Tauchman,32,0,Maj-NL,Chicago,56,218,186,35,50,10,0,5,34,27,0,45,2,1,2,0,3,1,0.269,0.364,0.403,0.767,643565
Leody Taveras,24,0,Maj-AL,Texas,91,356,331,48,92,18,2,11,49,21,0,74,1,1,2,2,11,3,0.278,0.321,0.444,0.765,665750
Chris Taylor,32,0,Maj-NL,Los Angeles,72,227,206,32,44,9,1,12,33,18,1,76,2,0,1,2,7,0,0.214,0.282,0.442,0.724,621035
Michael A. Taylor,32,0,Maj-AL,Minnesota,96,271,251,32,55,13,0,12,30,14,0,94,3,2,1,6,11,1,0.219,0.268,0.414,0.682,572191
Samad Taylor,24,0,Maj-AL,Kansas City,15,41,33,3,5,0,0,0,3,6,0,11,0,1,1,1,3,0,0.152,0.275,0.152,0.427,669392
Tyrone Taylor,29,1,Maj-NL,Milwaukee,36,96,93,7,15,3,0,2,7,2,0,24,0,0,1,5,6,0,0.161,0.177,0.258,0.435,621438
Rowdy Tellez,28,26,Maj-NL,Milwaukee,79,288,258,23,55,7,1,12,36,27,2,69,0,0,3,9,0,0,0.213,0.285,0.388,0.672,642133
Matt Thaiss,28,0,Maj-AL,Los Angeles,76,249,209,27,49,6,0,6,26,32,1,66,6,0,2,4,2,0,0.234,0.349,0.349,0.699,642136
Alek Thomas,23,0,Maj-NL,Arizona,71,227,215,30,52,13,3,6,19,10,0,53,1,0,1,4,5,1,0.242,0.278,0.414,0.692,677950
Cody Thomas,28,1,Maj-AL,Oakland,13,33,30,1,8,2,0,1,2,3,0,11,0,0,0,1,0,0,0.267,0.333,0.433,0.767,642137
Lane Thomas,27,0,Maj-NL,Washington,104,451,417,69,119,26,2,16,55,25,0,116,6,0,3,4,12,2,0.285,0.333,0.472,0.805,657041
Bubba Thompson,25,0,Maj-AL,Texas,37,60,53,10,9,4,1,0,4,4,0,16,1,1,1,0,4,2,0.17,0.237,0.283,0.52,669352
Trayce Thompson,32,57,Maj-NL,Los Angeles,36,87,71,12,11,0,0,5,14,15,0,37,1,0,0,0,0,0,0.155,0.31,0.366,0.677,572204
Michael Toglia,24,0,Maj-NL,Colorado,21,65,59,10,12,2,0,2,6,5,0,19,1,0,0,2,0,1,0.203,0.277,0.339,0.616,669911
Spencer Torkelson,23,0,Maj-AL,Detroit,104,447,397,51,91,23,1,15,59,43,1,108,3,0,4,8,2,0,0.229,0.307,0.406,0.712,679529
Abraham Toro,26,0,Maj-NL,Milwaukee,8,20,18,4,8,0,0,2,9,1,0,5,1,0,0,0,0,0,0.444,0.5,0.778,1.278,647351
Luis Torrens,27,98,Maj-NL,Chicago,12,22,20,1,5,1,0,0,3,1,0,8,1,0,0,0,0,0,0.25,0.318,0.3,0.618,620443
Gleyber Torres,26,0,Maj-AL,New York,104,438,392,57,101,14,2,16,44,39,0,61,1,0,6,10,8,5,0.258,0.322,0.426,0.748,650402
Ezequiel Tovar,21,0,Maj-NL,Colorado,98,380,363,47,94,23,3,10,47,13,0,104,3,0,1,4,5,3,0.259,0.29,0.422,0.711,678662
Taylor Trammell,25,6,Maj-AL,Seattle,22,56,46,7,6,0,0,3,11,9,0,22,1,0,0,2,0,1,0.13,0.286,0.326,0.612,666211
Alan Trejo,27,0,Maj-NL,Colorado,53,150,141,15,35,10,0,1,17,7,0,37,0,1,1,3,4,0,0.248,0.282,0.34,0.622,676701
Jose Trevino,30,13,Maj-AL,New York,55,168,157,15,33,4,0,4,15,8,0,22,2,1,0,6,0,0,0.21,0.258,0.312,0.57,624431
Jared Triolo,25,0,Maj-NL,Pittsburgh,26,104,94,12,25,2,0,0,9,8,0,32,1,0,1,0,0,1,0.266,0.327,0.287,0.614,669707
Chadwick Tromp,28,84,Maj-NL,Atlanta,6,16,16,1,2,1,0,0,1,0,0,7,0,0,0,0,0,0,0.125,0.125,0.188,0.313,644433
Mike Trout,31,27,Maj-AL,Los Angeles,81,358,304,54,80,14,1,18,44,45,2,103,7,0,2,3,2,0,0.263,0.369,0.493,0.862,545361
Kyle Tucker,26,0,Maj-AL,Houston,104,441,378,58,113,26,0,18,70,51,5,57,2,0,6,9,19,3,0.299,0.38,0.511,0.891,663656
Brice Turang,23,0,Maj-NL,Milwaukee,83,270,245,22,51,8,3,4,20,24,1,64,0,0,1,5,11,4,0.208,0.278,0.314,0.592,668930
Justin Turner,38,0,Maj-AL,Boston,101,436,387,66,111,25,0,17,70,38,0,69,6,0,5,8,4,0,0.287,0.356,0.483,0.839,457759
Trea Turner,30,0,Maj-NL,Philadelphia,103,462,430,57,104,21,4,10,34,30,2,111,2,0,0,5,21,0,0.242,0.294,0.379,0.674,607208
Luis Ur\xc3\xadas,26,32,Maj-NL,Milwaukee,20,68,55,5,8,2,0,1,5,7,0,15,5,0,0,1,0,0,0.146,0.299,0.236,0.535,649966
Ram\xc3\xb3n Ur\xc3\xadas,29,0,Maj-AL,Baltimore,75,270,245,30,62,19,0,4,34,18,0,69,6,0,1,8,3,1,0.253,0.319,0.38,0.698,602104
Gio Urshela,31,45,Maj-AL,Los Angeles,62,228,214,22,64,8,1,2,24,10,0,36,1,0,3,9,3,2,0.299,0.329,0.374,0.703,570482
Enmanuel Valdez,24,53,Maj-AL,Boston,33,101,94,9,22,4,0,4,11,5,0,27,1,0,0,2,4,1,0.234,0.28,0.404,0.684,665839
Ildemaro Vargas,31,0,Maj-NL,Washington,40,116,109,16,29,6,1,2,15,6,0,7,0,1,0,7,0,1,0.266,0.304,0.395,0.699,545121
Miguel Vargas,23,22,Maj-NL,Los Angeles,81,304,256,36,50,15,4,7,32,38,1,61,4,1,4,1,3,2,0.195,0.305,0.367,0.672,678246
Daulton Varsho,26,0,Maj-AL,Toronto,104,396,360,41,77,16,0,12,34,29,0,96,3,1,3,3,12,4,0.214,0.276,0.358,0.634,662139
Andrew Vaughn,25,0,Maj-AL,Chicago,98,409,368,44,91,23,2,13,58,29,0,80,10,0,2,11,0,0,0.247,0.318,0.427,0.744,683734
Terrin Vavra,26,60,Maj-AL,Baltimore,27,56,49,9,12,0,0,0,5,5,0,12,0,2,0,5,1,0,0.245,0.315,0.245,0.56,679631
Christian V\xc3\xa1zquez,32,0,Maj-AL,Minnesota,69,237,214,22,48,9,0,3,24,20,1,53,1,1,1,8,0,0,0.224,0.292,0.308,0.601,543877
Andrew Velazquez,28,0,Maj-AL,Los Angeles,32,69,59,9,12,2,0,1,1,8,0,20,0,2,0,1,9,2,0.203,0.299,0.288,0.587,623205
Nelson Vel\xc3\xa1zquez,24,84,Maj-NL,Chicago,13,32,29,8,7,2,0,3,6,3,0,8,0,0,0,1,0,0,0.241,0.313,0.621,0.933,676369
Alex Verdugo,27,0,Maj-AL,Boston,94,412,368,57,100,27,4,7,39,36,1,59,6,0,2,6,4,2,0.272,0.345,0.424,0.769,657077
Mark Vientos,23,1,Maj-NL,New York,23,72,66,4,15,2,0,2,8,4,0,21,1,0,1,2,0,0,0.227,0.278,0.349,0.626,668901
Matt Vierling,26,0,Maj-AL,Detroit,83,317,290,33,79,10,2,7,26,25,0,57,2,0,0,6,5,5,0.272,0.334,0.393,0.728,663837
David Villar,26,6,Maj-NL,San Francisco,46,140,124,15,18,6,0,5,12,11,0,45,4,0,1,1,1,1,0.145,0.236,0.315,0.55,681584
Meibrys Viloria,26,91,Maj-AL,Cleveland,10,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.25,0.0,0.25,650619
Daniel Vogelbach,30,0,Maj-NL,New York,74,225,195,23,44,7,0,7,30,30,1,55,0,0,0,5,0,0,0.226,0.329,0.369,0.698,596129
Luke Voit,32,78,Maj-NL,Milwaukee,22,74,68,5,15,3,0,0,4,4,0,27,2,0,0,3,2,0,0.221,0.284,0.265,0.549,572228
Anthony Volpe,22,0,Maj-AL,New York,105,390,350,44,73,13,3,13,36,36,0,111,2,1,1,9,19,2,0.209,0.285,0.374,0.66,683011
Jason Vosler,29,98,Maj-NL,Cincinnati,20,65,62,6,10,2,1,3,10,3,0,25,0,0,0,0,0,0,0.161,0.2,0.371,0.571,613564
Joey Votto,39,0,Maj-NL,Cincinnati,32,126,108,12,21,4,0,9,25,14,0,35,4,0,0,0,0,0,0.194,0.31,0.482,0.791,458015
LaMonte Wade Jr.,29,0,Maj-NL,San Francisco,91,353,284,44,76,13,1,9,28,60,2,70,4,3,2,3,2,0,0.268,0.4,0.416,0.816,664774
Tyler Wade,28,21,Maj-AL,Oakland,26,55,51,8,13,1,1,0,2,4,0,13,0,0,0,0,4,0,0.255,0.309,0.314,0.623,642180
Christian Walker,32,0,Maj-NL,Arizona,102,437,384,56,101,32,0,22,68,43,2,82,4,0,5,9,7,0,0.263,0.339,0.518,0.858,572233
Jordan Walker,21,0,Maj-NL,St. Louis,66,257,235,26,63,10,0,9,28,17,0,58,5,0,0,6,5,4,0.268,0.331,0.426,0.756,691023
Forrest Wall,27,4,Maj-NL,Atlanta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,,657088
Chad Wallach,31,0,Maj-AL,Los Angeles,47,126,112,14,22,2,0,6,12,12,0,44,0,2,0,4,0,1,0.196,0.274,0.375,0.649,595453
Matt Wallner,25,0,Maj-AL,Minnesota,24,74,62,11,16,2,0,5,9,7,0,21,5,0,0,0,1,1,0.258,0.378,0.532,0.911,670242
Taylor Walls,26,10,Maj-AL,Tampa Bay,79,279,242,42,51,11,2,7,27,36,0,71,1,0,0,1,20,1,0.211,0.315,0.36,0.675,670764
Jared Walsh,29,37,Maj-AL,Los Angeles,28,78,67,5,8,4,0,1,5,11,0,26,0,0,0,1,0,0,0.119,0.244,0.224,0.468,665120
Taylor Ward,29,1,Maj-AL,Los Angeles,97,409,356,60,90,18,0,14,47,39,0,80,8,0,6,9,4,2,0.253,0.335,0.421,0.756,621493
Drew Waters,24,0,Maj-AL,Kansas City,52,180,165,22,39,4,3,4,16,10,0,65,4,0,1,3,5,3,0.236,0.294,0.37,0.664,671221
Joey Wendle,33,0,Maj-NL,Miami,70,217,200,25,50,13,2,1,12,10,0,48,2,3,2,4,4,0,0.25,0.29,0.35,0.64,621563
Jordan Westburg,24,0,Maj-AL,Baltimore,24,81,75,11,19,5,2,1,8,5,0,21,1,0,0,1,2,1,0.253,0.309,0.413,0.722,676059
Eli White,29,99,Maj-NL,Atlanta,6,17,14,1,1,0,0,0,0,2,0,7,1,0,0,0,0,0,0.071,0.235,0.071,0.307,642201
Joey Wiemer,24,1,Maj-NL,Milwaukee,101,339,302,40,63,16,0,12,36,31,0,92,4,0,2,4,11,3,0.209,0.289,0.381,0.67,686894
Alika Williams,24,0,Maj-NL,Pittsburgh,5,10,9,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0.111,0.2,0.111,0.311,675961
Luke Williams,26,100,Maj-NL,Los Angeles,4,10,10,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0.1,0.1,0.1,0.2,663897
Jesse Winker,29,6,Maj-NL,Milwaukee,60,197,166,16,33,5,0,1,23,26,0,51,4,0,1,0,0,0,0.199,0.32,0.247,0.567,608385
Patrick Wisdom,31,2,Maj-NL,Chicago,71,247,215,36,42,7,1,18,36,28,0,92,2,1,1,4,4,1,0.195,0.293,0.488,0.781,621550
Brett Wisely,24,2,Maj-NL,San Francisco,51,131,120,10,21,5,0,2,8,9,0,40,0,1,1,2,2,1,0.175,0.231,0.267,0.498,689172
Bobby Witt,23,0,Maj-AL,Kansas City,105,456,426,55,112,18,7,18,60,22,0,91,3,1,4,5,29,8,0.263,0.301,0.465,0.766,677951
Connor Wong,27,0,Maj-AL,Boston,82,266,244,38,61,19,0,6,23,16,0,90,4,1,1,2,4,2,0.25,0.306,0.402,0.707,657136
Kolten Wong,32,0,Maj-AL,Seattle,67,216,194,21,32,6,0,2,19,16,0,46,4,0,2,0,1,1,0.165,0.241,0.227,0.468,543939
Austin Wynns,32,0,Maj-NL,"Colorado,Los Angeles,San Francisco",29,75,67,6,14,3,0,1,7,5,0,25,1,1,1,3,1,0,0.209,0.27,0.299,0.569,642851
Mike Yastrzemski,32,0,Maj-NL,San Francisco,77,285,253,43,59,17,1,11,32,29,3,74,1,2,0,2,1,2,0.233,0.315,0.439,0.753,573262
Christian Yelich,31,0,Maj-NL,Milwaukee,102,441,388,75,111,24,1,16,59,50,3,89,3,0,0,9,22,2,0.286,0.372,0.477,0.849,592885
Juan Yepez,25,56,Maj-NL,St. Louis,20,46,42,5,9,1,0,2,2,3,0,13,1,0,0,0,0,1,0.214,0.283,0.381,0.664,660766
Masataka Yoshida,29,0,Maj-AL,Boston,92,394,357,54,110,22,3,12,53,29,0,47,7,0,1,12,8,0,0.308,0.371,0.487,0.858,807799
Jared Young,27,12,Maj-NL,Chicago,13,39,35,7,6,0,2,1,5,3,0,11,1,0,0,1,2,0,0.171,0.256,0.371,0.628,676724
Seby Zavala,29,0,Maj-AL,Chicago,64,171,156,14,24,3,0,6,15,10,0,64,1,2,2,4,1,0,0.154,0.207,0.289,0.496,664874
Mike Zunino,32,46,Maj-AL,Cleveland,42,140,124,11,22,7,0,3,11,15,0,61,1,0,0,3,0,0,0.177,0.271,0.307,0.578,572287
