last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Cabrera, Edward,665795,2023,321,182,0.218,0.204,0.014,0.384,0.354,0.03,0.321,0.308,0.013,4.74,3.94,0.803
Greene, Hunter,668881,2023,318,183,0.241,0.211,0.03,0.426,0.378,0.0479999999999999,0.326,0.299,0.027,3.93,3.7,0.227
Hendricks, Kyle,543294,2023,314,251,0.237,0.264,-0.027,0.369,0.414,-0.0449999999999999,0.278,0.311,-0.0329999999999999,3.49,4.02,-0.529
Martinez, Nick,607259,2023,313,217,0.247,0.264,-0.017,0.367,0.431,-0.064,0.3,0.332,-0.032,3.98,4.65,-0.672
Manaea, Sean,640455,2023,310,191,0.25,0.254,-0.004,0.423,0.43,-0.007,0.327,0.334,-0.007,5.48,4.71,0.766
Crawford, Kutter,676710,2023,310,214,0.228,0.219,0.009,0.405,0.404,0.001,0.295,0.292,0.003,3.86,3.51,0.347
Quantrill, Cal,615698,2023,307,242,0.301,0.299,0.002,0.453,0.493,-0.0399999999999999,0.351,0.372,-0.021,6.45,6.05,0.398
Civale, Aaron,650644,2023,306,223,0.207,0.248,-0.041,0.311,0.369,-0.0579999999999999,0.258,0.298,-0.0399999999999999,2.34,3.67,-1.332
Boyd, Matthew,571510,2023,303,203,0.25,0.244,0.006,0.424,0.412,0.012,0.323,0.316,0.007,5.45,4.17,1.281
Contreras, Roansy,672710,2023,302,214,0.282,0.276,0.0059999999999999,0.466,0.447,0.019,0.357,0.353,0.004,6.58,5.35,1.235
Wainwright, Adam,425794,2023,300,241,0.349,0.334,0.0149999999999999,0.577,0.569,0.008,0.416,0.408,0.008,7.18,7.59,-0.409
Houser, Adrian,605288,2023,298,222,0.3,0.271,0.0289999999999999,0.436,0.417,0.019,0.345,0.328,0.0169999999999999,4.43,4.53,-0.097
Miller, Bryce,682243,2023,297,209,0.214,0.249,-0.035,0.393,0.46,-0.067,0.281,0.323,-0.0419999999999999,3.96,4.37,-0.41
Clevinger, Mike,605182,2023,290,204,0.236,0.25,-0.014,0.411,0.424,-0.013,0.316,0.333,-0.017,3.59,4.68,-1.089
Houck, Tanner,656557,2023,285,196,0.243,0.242,0.001,0.388,0.387,0.001,0.303,0.307,-0.004,5.05,3.91,1.144
Paxton, James,572020,2023,282,180,0.212,0.214,-0.002,0.359,0.352,0.007,0.277,0.279,-0.002,3.34,3.19,0.153
Kaprielian, James,621076,2023,280,186,0.274,0.243,0.031,0.452,0.426,0.026,0.357,0.337,0.0199999999999999,6.34,4.81,1.534
Lively, Ben,594902,2023,280,199,0.245,0.26,-0.015,0.441,0.45,-0.009,0.317,0.329,-0.012,3.76,4.56,-0.799
Chirinos, Yonny,630023,2023,280,220,0.254,0.295,-0.0409999999999999,0.456,0.505,-0.0489999999999999,0.333,0.373,-0.0399999999999999,4.34,6.09,-1.748
Grove, Michael,675627,2023,280,196,0.313,0.28,0.0329999999999999,0.533,0.483,0.05,0.384,0.352,0.032,6.75,5.31,1.44
Peterson, David,656849,2023,279,183,0.306,0.269,0.0369999999999999,0.488,0.425,0.063,0.372,0.337,0.0349999999999999,5.92,4.81,1.11
Severino, Luis,622663,2023,278,201,0.329,0.3,0.029,0.586,0.518,0.0679999999999999,0.414,0.383,0.0309999999999999,7.49,6.49,1.001
Rodriguez, Grayson,680570,2023,276,179,0.286,0.285,0.001,0.508,0.472,0.036,0.369,0.359,0.01,6.21,5.56,0.649
Miley, Wade,489119,2023,275,208,0.233,0.271,-0.038,0.387,0.457,-0.07,0.296,0.339,-0.043,3.06,4.87,-1.811
Wood, Alex,622072,2023,271,183,0.259,0.253,0.006,0.44,0.439,0.001,0.352,0.351,0.001,4.75,5.28,-0.533
Williamson, Brandon,682227,2023,269,193,0.247,0.273,-0.026,0.452,0.484,-0.0319999999999999,0.335,0.363,-0.0279999999999999,4.48,5.71,-1.233
Anderson, Chase,502624,2023,268,198,0.293,0.268,0.0249999999999999,0.519,0.455,0.064,0.376,0.347,0.029,6.08,5.14,0.942
Stripling, Ross,548389,2023,264,203,0.288,0.283,0.005,0.492,0.48,0.012,0.348,0.348,0.0,5.52,5.17,0.346
Wesneski, Hayden,669713,2023,263,190,0.25,0.28,-0.03,0.479,0.513,-0.034,0.334,0.362,-0.0279999999999999,4.74,5.67,-0.931
Bird, Jake,656234,2023,262,182,0.27,0.259,0.011,0.378,0.381,-0.003,0.314,0.321,-0.007,4.09,4.31,-0.224
Davies, Zach,605200,2023,259,186,0.289,0.279,0.0099999999999999,0.456,0.442,0.014,0.353,0.348,0.005,7.38,5.17,2.208
Kluber, Corey,446372,2023,257,190,0.297,0.27,0.0269999999999999,0.603,0.538,0.0649999999999999,0.408,0.375,0.0329999999999999,7.04,6.17,0.866
Fujinami, Shintaro,660261,2023,256,157,0.257,0.234,0.0229999999999999,0.421,0.404,0.0169999999999999,0.346,0.334,0.0119999999999999,8.08,4.71,3.374
Strahm, Matt,621381,2023,255,157,0.213,0.212,0.001,0.404,0.384,0.02,0.287,0.288,-0.001,3.53,3.41,0.124
Teheran, Julio,527054,2023,254,195,0.254,0.26,-0.006,0.475,0.449,0.0259999999999999,0.328,0.328,0.0,4.74,4.53,0.209
Muller, Kyle,666205,2023,253,186,0.346,0.329,0.0169999999999999,0.544,0.573,-0.0289999999999999,0.41,0.421,-0.011,7.79,8.23,-0.442
Glasnow, Tyler,607192,2023,253,144,0.212,0.227,-0.015,0.381,0.431,-0.0499999999999999,0.286,0.313,-0.027,3.36,4.08,-0.723
Englert, Mason,669438,2023,253,193,0.291,0.304,-0.013,0.526,0.526,0.0,0.369,0.381,-0.012,5.46,6.41,-0.946
Barria, Jaime,642545,2023,252,183,0.234,0.264,-0.03,0.416,0.446,-0.03,0.303,0.329,-0.026,3.79,4.56,-0.765
Cortes, Nestor,641482,2023,252,171,0.253,0.224,0.0289999999999999,0.45,0.395,0.0549999999999999,0.331,0.303,0.028,5.16,3.8,1.357
Sale, Chris,519242,2023,249,157,0.243,0.213,0.03,0.434,0.378,0.0559999999999999,0.318,0.296,0.022,4.58,3.62,0.956
Miller, Bobby,676272,2023,248,169,0.241,0.233,0.0079999999999999,0.404,0.369,0.035,0.308,0.294,0.014,4.37,3.57,0.804
Ortiz, Luis L.,682847,2023,247,186,0.309,0.311,-0.002,0.507,0.594,-0.0869999999999999,0.381,0.413,-0.0319999999999999,4.86,7.83,-2.967
Junis, Jakob,596001,2023,247,159,0.296,0.255,0.0409999999999999,0.516,0.43,0.086,0.368,0.323,0.0449999999999999,4.79,4.37,0.423
Winckowski, Josh,670174,2023,247,179,0.275,0.246,0.029,0.415,0.391,0.0239999999999999,0.323,0.302,0.021,2.95,3.78,-0.832
Syndergaard, Noah,592789,2023,246,193,0.313,0.297,0.016,0.551,0.494,0.057,0.38,0.362,0.018,7.16,5.67,1.487
Blackburn, Paul,621112,2023,246,169,0.305,0.257,0.0479999999999999,0.468,0.393,0.075,0.354,0.312,0.0419999999999999,4.83,4.05,0.783
Harris, Hogan,663687,2023,243,167,0.249,0.243,0.006,0.418,0.435,-0.017,0.325,0.33,-0.005,6.07,4.59,1.481
Varland, Louie,686973,2023,241,170,0.27,0.261,0.009,0.527,0.492,0.035,0.358,0.346,0.012,5.3,5.11,0.194
Abbott, Andrew,671096,2023,237,152,0.184,0.212,-0.0279999999999999,0.332,0.379,-0.0469999999999999,0.255,0.286,-0.0309999999999999,1.9,3.36,-1.463
Curry, Xzavion,675540,2023,236,180,0.235,0.286,-0.0509999999999999,0.392,0.489,-0.0969999999999999,0.296,0.356,-0.06,2.98,5.45,-2.467
King, Michael,650633,2023,229,142,0.217,0.223,-0.006,0.35,0.342,0.0079999999999999,0.291,0.294,-0.003,3.17,3.57,-0.403
Lynch IV, Daniel,663738,2023,223,172,0.245,0.266,-0.021,0.426,0.464,-0.038,0.313,0.339,-0.026,4.64,4.87,-0.227
Richards, Trevor,670950,2023,222,116,0.204,0.177,0.0269999999999999,0.383,0.344,0.039,0.295,0.273,0.0219999999999999,3.04,3.05,-0.012
Maeda, Kenta,628317,2023,222,141,0.25,0.233,0.0169999999999999,0.422,0.402,0.0199999999999999,0.312,0.3,0.012,4.53,3.72,0.808
Stratton, Chris,608717,2023,221,144,0.231,0.233,-0.002,0.377,0.399,-0.022,0.29,0.306,-0.016,4.36,3.89,0.47
Rogers, Tyler,643511,2023,220,159,0.222,0.195,0.0269999999999999,0.333,0.264,0.069,0.266,0.23,0.036,2.52,2.17,0.346
Santos, Gregory,666619,2023,219,153,0.26,0.246,0.014,0.314,0.308,0.006,0.28,0.273,0.007,2.63,3.05,-0.42
Flexen, Chris,623167,2023,219,160,0.332,0.308,0.024,0.563,0.506,0.0569999999999999,0.414,0.389,0.0249999999999999,8.08,6.74,1.34
Brito, Jhony,666745,2023,219,161,0.249,0.26,-0.011,0.451,0.476,-0.0249999999999999,0.333,0.355,-0.0219999999999999,4.7,5.42,-0.717
Brazoban, Huascar,623211,2023,217,142,0.259,0.216,0.043,0.36,0.322,0.0379999999999999,0.307,0.281,0.0259999999999999,3.75,3.24,0.515
Whitlock, Garrett,676477,2023,216,160,0.298,0.277,0.0209999999999999,0.517,0.468,0.0489999999999999,0.356,0.331,0.0249999999999999,5.23,4.62,0.606
Gonzales, Marco,594835,2023,215,163,0.282,0.286,-0.004,0.431,0.441,-0.01,0.334,0.348,-0.0139999999999999,5.22,5.17,0.05
Baumann, Mike,657508,2023,215,132,0.209,0.237,-0.0279999999999999,0.324,0.4,-0.076,0.289,0.331,-0.042,3.48,4.62,-1.136
Pérez, Eury,691587,2023,215,136,0.208,0.211,-0.003,0.401,0.389,0.012,0.292,0.292,0.0,2.36,3.51,-1.148
Lawrence, Justin,664875,2023,215,135,0.183,0.194,-0.011,0.274,0.294,-0.0199999999999999,0.247,0.261,-0.014,2.89,2.79,0.097
McGough, Scott,543518,2023,213,129,0.206,0.24,-0.034,0.386,0.403,-0.017,0.286,0.314,-0.028,4.38,4.11,0.273
Gibaut, Ian,664139,2023,213,143,0.227,0.222,0.005,0.357,0.366,-0.009,0.292,0.298,-0.006,2.96,3.67,-0.709
Tonkin, Michael,543859,2023,211,153,0.211,0.238,-0.0269999999999999,0.33,0.377,-0.0469999999999999,0.257,0.29,-0.0329999999999999,3.19,3.46,-0.274
Hernández, Carlos,672578,2023,211,132,0.192,0.225,-0.033,0.311,0.363,-0.0519999999999999,0.248,0.284,-0.0359999999999999,3.57,3.31,0.256
Holton, Tyler,663947,2023,211,147,0.192,0.239,-0.0469999999999999,0.301,0.385,-0.084,0.244,0.297,-0.0529999999999999,1.99,3.64,-1.652
Beck, Tristan,663941,2023,211,155,0.226,0.233,-0.007,0.354,0.387,-0.033,0.278,0.294,-0.0159999999999999,2.94,3.57,-0.628
Yarbrough, Ryan,642232,2023,211,168,0.265,0.285,-0.0199999999999999,0.378,0.443,-0.065,0.304,0.337,-0.033,4.24,4.81,-0.575
Woo, Bryan,693433,2023,209,137,0.247,0.228,0.0189999999999999,0.442,0.362,0.08,0.325,0.292,0.033,4.96,3.51,1.449
Ruiz, José,614179,2023,207,141,0.292,0.266,0.0259999999999999,0.522,0.452,0.07,0.386,0.354,0.032,5.89,5.38,0.507
Fleming, Josh,676596,2023,207,164,0.276,0.284,-0.0079999999999999,0.47,0.463,0.0069999999999999,0.343,0.351,-0.0079999999999999,4.62,5.28,-0.657
Maton, Phil,664208,2023,207,127,0.206,0.197,0.0089999999999999,0.328,0.325,0.003,0.283,0.28,0.0029999999999999,3.24,3.22,0.02
Olson, Reese,681857,2023,205,148,0.237,0.255,-0.018,0.423,0.478,-0.0549999999999999,0.297,0.333,-0.036,4.71,4.68,0.031
Irvin, Cole,608344,2023,205,146,0.29,0.31,-0.02,0.454,0.568,-0.1139999999999999,0.351,0.405,-0.054,5.93,7.45,-1.518
Farmer, Buck,571656,2023,205,141,0.209,0.224,-0.015,0.407,0.425,-0.018,0.294,0.311,-0.017,3.71,4.02,-0.314
Wilson, Bryse,669060,2023,204,148,0.225,0.254,-0.0289999999999999,0.39,0.405,-0.015,0.288,0.307,-0.019,3.44,3.91,-0.467
Abreu, Bryan,650556,2023,203,105,0.199,0.194,0.005,0.341,0.335,0.006,0.28,0.278,0.002,2.55,3.17,-0.616
Merryweather, Julian,657240,2023,202,119,0.246,0.212,0.034,0.335,0.33,0.005,0.298,0.288,0.01,3.72,3.41,0.307
Clarke, Taylor,664199,2023,201,130,0.307,0.242,0.065,0.494,0.425,0.069,0.374,0.329,0.0449999999999999,6.0,4.56,1.44
Keller, Brad,641745,2023,201,127,0.261,0.232,0.0289999999999999,0.369,0.382,-0.013,0.361,0.355,0.006,4.36,5.42,-1.058
Scott, Tanner,656945,2023,200,107,0.203,0.199,0.004,0.271,0.263,0.008,0.254,0.251,0.003,2.9,2.57,0.329
Marinaccio, Ron,676760,2023,199,112,0.212,0.208,0.004,0.364,0.38,-0.016,0.315,0.326,-0.011,4.08,4.46,-0.381
Clase, Emmanuel,661403,2023,199,144,0.223,0.229,-0.006,0.304,0.333,-0.029,0.253,0.268,-0.015,2.96,2.94,0.019
Thompson, Mason,666168,2023,199,136,0.264,0.239,0.025,0.362,0.371,-0.009,0.319,0.316,0.003,4.66,4.17,0.492
Blanco, Ronel,669854,2023,199,125,0.244,0.24,0.004,0.471,0.457,0.0139999999999999,0.351,0.349,0.002,4.7,5.21,-0.514
Montero, Rafael,606160,2023,198,128,0.28,0.251,0.029,0.526,0.439,0.087,0.377,0.338,0.0389999999999999,6.0,4.84,1.16
Suter, Brent,608718,2023,198,142,0.229,0.212,0.017,0.318,0.282,0.036,0.27,0.252,0.018,2.79,2.59,0.203
Doval, Camilo,666808,2023,196,107,0.189,0.193,-0.004,0.254,0.288,-0.0339999999999999,0.249,0.263,-0.014,2.63,2.83,-0.205
García, Yimi,554340,2023,196,130,0.282,0.251,0.0309999999999999,0.425,0.381,0.0439999999999999,0.328,0.299,0.029,4.4,3.7,0.7
Weathers, Ryan,677960,2023,196,149,0.313,0.264,0.0489999999999999,0.528,0.442,0.086,0.384,0.336,0.0479999999999999,6.25,4.78,1.466
Honeywell, Brent,641703,2023,196,130,0.243,0.263,-0.02,0.414,0.43,-0.016,0.331,0.349,-0.0179999999999999,3.83,5.21,-1.382
Brash, Matt,666374,2023,195,95,0.254,0.197,0.0569999999999999,0.314,0.256,0.0579999999999999,0.3,0.269,0.0309999999999999,3.53,2.96,0.571
Johnson, Pierce,572955,2023,195,111,0.292,0.245,0.0469999999999999,0.488,0.406,0.0819999999999999,0.375,0.329,0.0459999999999999,5.75,4.56,1.194
Abreu, Albert,656061,2023,195,118,0.216,0.222,-0.006,0.371,0.381,-0.01,0.308,0.317,-0.009,3.89,4.2,-0.314
McHugh, Collin,543521,2023,194,144,0.305,0.275,0.0299999999999999,0.397,0.401,-0.004,0.343,0.332,0.011,3.98,4.65,-0.673
Swanson, Erik,657024,2023,194,121,0.211,0.186,0.0249999999999999,0.371,0.345,0.026,0.288,0.269,0.0189999999999999,3.51,2.96,0.554
Fulmer, Michael,605242,2023,194,121,0.24,0.244,-0.004,0.407,0.383,0.0239999999999999,0.322,0.324,-0.002,4.21,4.4,-0.187
Lambert, Peter,663567,2023,194,134,0.27,0.248,0.022,0.534,0.465,0.069,0.37,0.339,0.0309999999999999,4.76,4.87,-0.105
Cano, Yennier,666974,2023,194,139,0.232,0.243,-0.0109999999999999,0.324,0.34,-0.016,0.259,0.271,-0.012,1.76,3.01,-1.245
Stephan, Trevor,663986,2023,193,129,0.247,0.235,0.012,0.412,0.419,-0.007,0.314,0.326,-0.012,3.18,4.46,-1.284
Shuster, Jared,694363,2023,193,145,0.25,0.259,-0.009,0.393,0.414,-0.0209999999999999,0.321,0.342,-0.021,5.0,4.97,0.03
Payamps, Joel,606303,2023,192,123,0.202,0.232,-0.03,0.337,0.358,-0.0209999999999999,0.254,0.28,-0.026,2.01,3.22,-1.213
Bautista, Félix,642585,2023,192,73,0.135,0.133,0.002,0.193,0.201,-0.008,0.202,0.204,-0.0019999999999999,0.9,1.72,-0.82
Hoeing, Bryan,663773,2023,192,138,0.253,0.255,-0.002,0.476,0.46,0.0159999999999999,0.336,0.337,-0.001,4.57,4.81,-0.244
Cuas, Jose,621016,2023,192,115,0.277,0.24,0.037,0.452,0.447,0.005,0.359,0.345,0.014,4.54,5.07,-0.534
VerHagen, Drew,572403,2023,191,126,0.259,0.236,0.023,0.434,0.384,0.0499999999999999,0.332,0.308,0.024,4.83,3.94,0.889
Bickford, Phil,641360,2023,190,116,0.235,0.254,-0.019,0.407,0.452,-0.045,0.322,0.348,-0.0259999999999999,5.14,5.17,-0.027
Graveman, Kendall,608665,2023,190,120,0.21,0.229,-0.019,0.364,0.384,-0.02,0.305,0.324,-0.019,3.4,4.4,-1.0
Assad, Javier,665871,2023,190,134,0.244,0.253,-0.009,0.405,0.392,0.013,0.318,0.33,-0.012,3.5,4.59,-1.094
Moreta, Dauri,664294,2023,190,104,0.188,0.191,-0.003,0.339,0.342,-0.003,0.275,0.279,-0.004,3.5,3.19,0.306
Díaz, Alexis,664747,2023,190,97,0.172,0.175,-0.003,0.245,0.268,-0.023,0.25,0.261,-0.011,2.14,2.79,-0.653
Hicks, Jordan,663855,2023,189,103,0.244,0.202,0.0419999999999999,0.338,0.268,0.07,0.311,0.277,0.0339999999999999,3.67,3.15,0.522
Morgan, Eli,669212,2023,188,129,0.25,0.258,-0.008,0.39,0.435,-0.0449999999999999,0.303,0.324,-0.021,2.72,4.4,-1.679
Kelly, Kevin,687330,2023,188,132,0.206,0.233,-0.027,0.306,0.327,-0.021,0.263,0.284,-0.0209999999999999,2.91,3.31,-0.396
Lauer, Eric,641778,2023,187,126,0.273,0.293,-0.0199999999999999,0.57,0.54,0.0299999999999999,0.385,0.389,-0.004,5.48,6.74,-1.256
Pressly, Ryan,519151,2023,187,127,0.207,0.237,-0.03,0.351,0.413,-0.062,0.257,0.296,-0.0389999999999999,3.23,3.62,-0.388
Kuhl, Chad,641771,2023,187,125,0.313,0.311,0.002,0.567,0.604,-0.037,0.413,0.433,-0.02,8.45,8.86,-0.408
May, Dustin,669160,2023,187,135,0.173,0.231,-0.058,0.25,0.336,-0.086,0.23,0.287,-0.0569999999999999,2.63,3.39,-0.765
Almonte, Yency,622075,2023,185,120,0.235,0.248,-0.013,0.383,0.381,0.002,0.313,0.32,-0.007,5.02,4.28,0.743
Martinez, Seth,661527,2023,185,117,0.267,0.258,0.009,0.447,0.438,0.009,0.351,0.345,0.006,5.31,5.07,0.241
Pagán, Emilio,641941,2023,185,127,0.194,0.233,-0.039,0.341,0.423,-0.0819999999999999,0.262,0.31,-0.0479999999999999,3.3,4.0,-0.698
Lange, Alex,656638,2023,185,99,0.174,0.208,-0.034,0.302,0.317,-0.015,0.281,0.306,-0.0249999999999999,3.8,3.89,-0.093
Estévez, Carlos,608032,2023,184,108,0.217,0.219,-0.002,0.335,0.36,-0.0249999999999999,0.285,0.294,-0.009,1.88,3.57,-1.686
Sánchez, Cristopher,650911,2023,184,132,0.202,0.243,-0.0409999999999999,0.364,0.41,-0.0459999999999999,0.267,0.305,-0.0379999999999999,2.66,3.86,-1.198
Foley, Jason,671345,2023,183,130,0.235,0.235,0.0,0.294,0.331,-0.037,0.254,0.273,-0.019,2.33,3.05,-0.719
López, Reynaldo,625643,2023,183,106,0.212,0.217,-0.005,0.381,0.375,0.006,0.301,0.306,-0.005,4.15,3.89,0.264
Hill, Tim,657612,2023,183,140,0.302,0.267,0.0349999999999999,0.457,0.403,0.0539999999999999,0.357,0.328,0.0289999999999999,4.04,4.53,-0.491
Woodford, Jake,663765,2023,182,137,0.314,0.294,0.02,0.553,0.508,0.045,0.397,0.384,0.013,5.67,6.53,-0.858
Ottavino, Adam,493603,2023,181,116,0.208,0.205,0.003,0.344,0.31,0.0339999999999999,0.298,0.287,0.011,3.35,3.39,-0.041
Alexander, Tyler,641302,2023,181,129,0.256,0.236,0.02,0.453,0.426,0.027,0.314,0.296,0.018,4.5,3.62,0.88
Neris, Hector,593576,2023,180,104,0.183,0.187,-0.004,0.307,0.309,-0.002,0.277,0.282,-0.0049999999999999,1.41,3.27,-1.86
Gallegos, Giovanny,606149,2023,180,127,0.226,0.251,-0.0249999999999999,0.417,0.431,-0.014,0.291,0.309,-0.018,3.6,3.97,-0.37
Leiter Jr., Mark,643410,2023,180,104,0.178,0.212,-0.034,0.312,0.37,-0.0579999999999999,0.263,0.299,-0.0359999999999999,3.07,3.7,-0.632
Cruz, Fernando,518585,2023,179,99,0.212,0.192,0.0199999999999999,0.359,0.326,0.0329999999999999,0.294,0.277,0.0169999999999999,4.71,3.15,1.564
Jax, Griffin,643377,2023,179,125,0.217,0.215,0.002,0.295,0.296,-0.001,0.25,0.251,-0.001,3.04,2.57,0.475
Alzolay, Adbert,640470,2023,179,117,0.223,0.211,0.012,0.325,0.299,0.026,0.259,0.248,0.011,2.33,2.51,-0.179
Adam, Jason,592094,2023,179,101,0.175,0.218,-0.043,0.292,0.393,-0.101,0.269,0.322,-0.0529999999999999,2.51,4.34,-1.828
Finnegan, Kyle,640448,2023,179,122,0.242,0.257,-0.015,0.398,0.427,-0.0289999999999999,0.304,0.323,-0.019,3.07,4.37,-1.302
Moran, Jovani,663558,2023,178,107,0.23,0.216,0.014,0.349,0.328,0.0209999999999999,0.306,0.295,0.011,5.44,3.59,1.854
Kimbrel, Craig,518886,2023,178,92,0.166,0.17,-0.004,0.312,0.32,-0.008,0.258,0.262,-0.004,3.2,2.81,0.39
Rasmussen, Drew,656876,2023,177,118,0.221,0.225,-0.004,0.294,0.316,-0.022,0.254,0.264,-0.01,2.62,2.85,-0.231
Cisnero, José,542585,2023,177,113,0.25,0.232,0.0179999999999999,0.423,0.405,0.0179999999999999,0.322,0.311,0.011,3.98,4.02,-0.036
Graterol, Brusdar,660813,2023,177,134,0.259,0.251,0.008,0.367,0.337,0.0299999999999999,0.285,0.276,0.0089999999999999,1.8,3.12,-1.32
Pallante, Andre,669467,2023,177,121,0.26,0.231,0.0289999999999999,0.377,0.321,0.0559999999999999,0.324,0.296,0.028,4.43,3.62,0.806
Romano, Jordan,605447,2023,176,108,0.223,0.222,0.001,0.35,0.358,-0.008,0.279,0.282,-0.0029999999999999,2.79,3.27,-0.484
Burke, Brock,656271,2023,176,136,0.251,0.254,-0.003,0.389,0.413,-0.0239999999999999,0.285,0.297,-0.012,2.72,3.64,-0.919
Ferguson, Caleb,657571,2023,176,103,0.238,0.216,0.0219999999999999,0.305,0.282,0.023,0.298,0.283,0.015,2.9,3.29,-0.389
Barlow, Scott,605130,2023,176,106,0.255,0.235,0.02,0.369,0.342,0.0269999999999999,0.319,0.304,0.015,5.35,3.83,1.523
Floro, Dylan,571670,2023,176,123,0.299,0.25,0.0489999999999999,0.409,0.333,0.0759999999999999,0.325,0.276,0.0489999999999999,4.39,3.12,1.27
Baker, Bryan,641329,2023,175,99,0.212,0.195,0.0169999999999999,0.329,0.3,0.029,0.289,0.281,0.0079999999999999,3.64,3.24,0.403
Robertson, David,502085,2023,175,111,0.195,0.2,-0.005,0.327,0.339,-0.012,0.26,0.268,-0.008,2.0,2.94,-0.94
Falter, Bailey,663559,2023,175,139,0.301,0.278,0.0229999999999999,0.494,0.466,0.0279999999999999,0.352,0.334,0.0179999999999999,5.13,4.71,0.422
Wilson, Steven,621051,2023,175,106,0.164,0.185,-0.0209999999999999,0.283,0.32,-0.037,0.256,0.279,-0.023,2.46,3.19,-0.735
Young, Alex,622065,2023,174,119,0.234,0.236,-0.0019999999999999,0.373,0.363,0.01,0.299,0.298,0.001,2.19,3.67,-1.475
Topa, Justin,623437,2023,174,124,0.252,0.231,0.0209999999999999,0.327,0.313,0.014,0.271,0.262,0.009,2.59,2.81,-0.218
Sims, Lucas,608371,2023,174,91,0.153,0.181,-0.0279999999999999,0.299,0.359,-0.06,0.286,0.317,-0.031,3.7,4.2,-0.498
Jameson, Drey,686753,2023,174,118,0.26,0.253,0.007,0.416,0.505,-0.089,0.331,0.359,-0.0279999999999999,3.32,5.56,-2.24
Castro, Miguel,612434,2023,173,120,0.195,0.243,-0.0479999999999999,0.331,0.396,-0.065,0.268,0.312,-0.0439999999999999,4.04,4.05,-0.011
Bednar, David,670280,2023,173,104,0.201,0.175,0.026,0.26,0.281,-0.021,0.233,0.239,-0.0059999999999999,1.27,2.34,-1.074
De Los Santos, Enyel,660853,2023,171,112,0.188,0.225,-0.037,0.289,0.38,-0.091,0.263,0.313,-0.0499999999999999,2.46,4.08,-1.625
Rucker, Michael,621074,2023,171,112,0.262,0.242,0.02,0.443,0.401,0.0419999999999999,0.342,0.326,0.016,5.03,4.46,0.574
Pfaadt, Brandon,694297,2023,171,128,0.323,0.275,0.0479999999999999,0.652,0.535,0.1169999999999999,0.423,0.368,0.0549999999999999,8.2,5.9,2.296
Pérez, Cionel,672335,2023,171,120,0.287,0.248,0.0389999999999999,0.392,0.357,0.035,0.345,0.32,0.0249999999999999,4.54,4.28,0.262
Vasquez, Andrew,607755,2023,170,117,0.235,0.216,0.0189999999999999,0.342,0.352,-0.0099999999999999,0.295,0.291,0.004,2.27,3.49,-1.221
Manning, Matt,666159,2023,170,123,0.215,0.246,-0.031,0.396,0.463,-0.067,0.296,0.341,-0.045,4.32,4.94,-0.62
Peguero, Elvis,665625,2023,170,114,0.22,0.239,-0.0189999999999999,0.273,0.337,-0.064,0.272,0.303,-0.0309999999999999,3.21,3.8,-0.586
Moll, Sam,594580,2023,170,98,0.239,0.2,0.0389999999999999,0.331,0.278,0.0529999999999999,0.303,0.272,0.0309999999999999,4.54,3.03,1.51
Beeks, Jalen,656222,2023,169,109,0.247,0.217,0.03,0.384,0.337,0.0469999999999999,0.317,0.301,0.016,6.27,3.75,2.518
Soto, Gregory,642397,2023,169,110,0.208,0.206,0.002,0.282,0.283,-0.001,0.265,0.266,-0.001,4.24,2.9,1.34
Sewald, Paul,623149,2023,169,95,0.196,0.159,0.037,0.327,0.255,0.072,0.258,0.217,0.041,2.93,1.94,0.99
Milner, Hoby,571948,2023,169,117,0.232,0.224,0.008,0.381,0.381,0.0,0.289,0.291,-0.002,2.32,3.49,-1.17
Yates, Kirby,489446,2023,168,91,0.182,0.205,-0.0229999999999999,0.357,0.411,-0.0539999999999999,0.29,0.326,-0.036,3.38,4.46,-1.085
Duran, Jhoan,661395,2023,167,91,0.197,0.185,0.012,0.331,0.293,0.038,0.271,0.256,0.015,2.66,2.68,-0.024
Bradford, Cody,674003,2023,167,118,0.252,0.228,0.0239999999999999,0.497,0.458,0.0389999999999999,0.335,0.323,0.012,4.5,4.37,0.13
Holmes, Clay,605280,2023,167,99,0.204,0.21,-0.006,0.265,0.298,-0.0329999999999999,0.254,0.27,-0.016,2.21,2.98,-0.767
Lodolo, Nick,666157,2023,166,102,0.34,0.242,0.098,0.605,0.472,0.133,0.427,0.341,0.0859999999999999,6.29,4.94,1.351
Shreve, Chasen,592741,2023,166,115,0.282,0.248,0.0339999999999999,0.47,0.428,0.0419999999999999,0.339,0.318,0.021,4.7,4.23,0.466
García, Luis,472610,2023,166,106,0.248,0.238,0.01,0.369,0.344,0.025,0.322,0.311,0.011,5.4,4.02,1.38
Feltner, Ryan,663372,2023,165,106,0.268,0.259,0.009,0.384,0.383,0.001,0.344,0.343,0.0009999999999999,5.86,5.01,0.848
Nelson, Kyle,669459,2023,165,103,0.243,0.209,0.034,0.428,0.381,0.0469999999999999,0.31,0.279,0.0309999999999999,2.95,3.19,-0.24
Gott, Trevor,641627,2023,165,113,0.278,0.235,0.043,0.404,0.352,0.052,0.325,0.288,0.037,4.66,3.41,1.254
