last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Carlton, Drew,656290,2023,85,59,0.243,0.241,0.002,0.378,0.417,-0.0389999999999999,0.299,0.323,-0.024,4.36,4.37,-0.015
Kahnle, Tommy,592454,2023,85,53,0.187,0.19,-0.003,0.32,0.316,0.004,0.263,0.267,-0.004,2.53,2.92,-0.389
Lee, Dylan,669276,2023,85,55,0.237,0.25,-0.013,0.342,0.457,-0.1149999999999999,0.286,0.332,-0.046,3.1,4.65,-1.552
Schreiber, John,670167,2023,85,51,0.247,0.215,0.032,0.356,0.305,0.0509999999999999,0.313,0.286,0.027,2.18,3.36,-1.183
Romero, JoJo,668941,2023,84,55,0.189,0.247,-0.0579999999999999,0.297,0.329,-0.032,0.26,0.3,-0.0399999999999999,3.92,3.72,0.199
De Los Santos, Yerry,660787,2023,84,56,0.174,0.222,-0.048,0.246,0.339,-0.093,0.239,0.301,-0.062,3.2,3.75,-0.547
Skubal, Tarik,669373,2023,84,53,0.228,0.192,0.036,0.367,0.29,0.077,0.269,0.233,0.036,4.57,2.22,2.349
Zastryzny, Rob,642239,2023,83,57,0.294,0.261,0.0329999999999999,0.397,0.394,0.003,0.358,0.345,0.013,5.29,5.07,0.224
King, John,667463,2023,81,67,0.342,0.28,0.062,0.434,0.365,0.069,0.35,0.303,0.0469999999999999,5.79,3.8,1.986
Márquez, Germán,608566,2023,80,58,0.257,0.273,-0.016,0.527,0.503,0.024,0.337,0.339,-0.002,4.95,4.87,0.08
Jackson, Andre,656578,2023,79,60,0.289,0.299,-0.01,0.553,0.538,0.015,0.367,0.368,-0.001,6.62,5.9,0.723
Rogers, Trevor,669432,2023,79,51,0.229,0.217,0.012,0.329,0.398,-0.069,0.293,0.312,-0.019,4.0,4.05,-0.05
Bachman, Sam,696147,2023,77,51,0.262,0.277,-0.015,0.292,0.331,-0.039,0.308,0.328,-0.02,3.18,4.53,-1.354
Mlodzinski, Carmen,669387,2023,77,52,0.188,0.211,-0.0229999999999999,0.29,0.335,-0.045,0.256,0.283,-0.0269999999999999,1.86,3.29,-1.428
Thompson, Ryan,657044,2023,76,54,0.215,0.21,0.005,0.385,0.364,0.021,0.313,0.306,0.007,6.11,3.89,2.223
Hartwig, Grant,701643,2023,73,50,0.281,0.271,0.01,0.328,0.36,-0.0319999999999999,0.314,0.319,-0.005,4.76,4.25,0.515
Castillo, Max,666721,2023,73,56,0.266,0.299,-0.0329999999999999,0.406,0.425,-0.0189999999999999,0.318,0.341,-0.023,4.24,4.94,-0.705
Smeltzer, Devin,656970,2023,73,56,0.318,0.318,0.0,0.667,0.666,0.001,0.44,0.443,-0.003,6.89,9.41,-2.516
Balazovic, Jordan,666364,2023,72,53,0.234,0.236,-0.0019999999999999,0.406,0.402,0.004,0.309,0.317,-0.008,3.12,4.2,-1.085
Jacques, Joe,682175,2023,71,55,0.328,0.235,0.093,0.537,0.357,0.18,0.381,0.274,0.1069999999999999,4.86,3.08,1.78
Stone, Gavin,694813,2023,71,55,0.452,0.351,0.101,0.629,0.482,0.147,0.483,0.394,0.0889999999999999,12.75,6.96,5.79
Herget, Jimmy,623474,2023,71,54,0.297,0.269,0.0279999999999999,0.563,0.481,0.0819999999999999,0.387,0.348,0.039,5.06,5.17,-0.107
Curtiss, John,595928,2023,70,53,0.222,0.198,0.0239999999999999,0.397,0.386,0.011,0.295,0.281,0.0139999999999999,4.08,3.24,0.835
Walter, Brandon,687888,2023,65,51,0.283,0.221,0.0619999999999999,0.4,0.356,0.044,0.325,0.281,0.0439999999999999,3.07,3.24,-0.172
Weber, Ryan,543901,2023,60,51,0.298,0.299,-0.001,0.474,0.502,-0.028,0.336,0.355,-0.0189999999999999,3.14,5.42,-2.28
