last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Brennan, Will,686823,2023,306,251,0.262,0.292,-0.0299999999999999,0.372,0.386,-0.014,0.292,0.314,-0.022
Rengifo, Luis,650859,2023,304,209,0.228,0.234,-0.006,0.386,0.37,0.016,0.309,0.311,-0.002
Vargas, Miguel,678246,2023,304,200,0.195,0.211,-0.0159999999999999,0.367,0.352,0.015,0.296,0.305,-0.009
Grandal, Yasmani,518735,2023,303,210,0.251,0.229,0.0219999999999999,0.382,0.35,0.032,0.308,0.289,0.019
Canha, Mark,592192,2023,303,210,0.245,0.24,0.005,0.381,0.379,0.002,0.322,0.324,-0.002
Julks, Corey,667452,2023,303,209,0.251,0.245,0.006,0.362,0.362,0.0,0.293,0.292,0.001
Garcia, Maikel,672580,2023,301,216,0.272,0.268,0.004,0.386,0.398,-0.012,0.307,0.319,-0.012
Duran, Jarren,680776,2023,301,202,0.315,0.271,0.0439999999999999,0.507,0.403,0.1039999999999999,0.372,0.324,0.0479999999999999
Mountcastle, Ryan,663624,2023,301,211,0.24,0.267,-0.027,0.441,0.526,-0.085,0.305,0.352,-0.0469999999999999
Harris II, Michael,671739,2023,300,222,0.275,0.272,0.003,0.442,0.427,0.015,0.331,0.327,0.004
Pratto, Nick,668472,2023,299,152,0.238,0.217,0.0209999999999999,0.375,0.36,0.015,0.31,0.298,0.012
Joe, Connor,656582,2023,299,183,0.242,0.236,0.006,0.417,0.402,0.0149999999999999,0.328,0.323,0.005
Seager, Corey,608369,2023,298,215,0.35,0.333,0.0169999999999999,0.631,0.653,-0.022,0.436,0.442,-0.006
Greene, Riley,682985,2023,298,186,0.307,0.287,0.02,0.467,0.491,-0.0239999999999999,0.365,0.365,0.0
Jiménez, Eloy,650391,2023,297,213,0.285,0.266,0.0189999999999999,0.477,0.453,0.0239999999999999,0.345,0.33,0.0149999999999999
McLain, Matt,680574,2023,296,184,0.305,0.261,0.0439999999999999,0.53,0.436,0.094,0.388,0.339,0.0489999999999999
Solano, Donovan,456781,2023,292,184,0.264,0.28,-0.016,0.392,0.41,-0.0179999999999999,0.338,0.351,-0.0129999999999999
Raley, Luke,670042,2023,291,169,0.268,0.248,0.02,0.531,0.476,0.055,0.379,0.353,0.026
Kepler, Max,596146,2023,291,202,0.232,0.245,-0.0129999999999999,0.445,0.445,0.0,0.317,0.326,-0.009
Mullins, Cedric,656775,2023,290,197,0.259,0.236,0.023,0.454,0.371,0.083,0.347,0.313,0.0339999999999999
Berti, Jon,542932,2023,290,218,0.299,0.284,0.015,0.381,0.395,-0.014,0.314,0.315,-0.001
Tellez, Rowdy,642133,2023,288,192,0.213,0.234,-0.021,0.388,0.377,0.011,0.29,0.301,-0.011
Baty, Brett,683146,2023,288,183,0.231,0.24,-0.0089999999999999,0.354,0.384,-0.03,0.287,0.306,-0.019
Grossman, Robbie,543257,2023,287,186,0.225,0.211,0.014,0.369,0.339,0.0299999999999999,0.297,0.285,0.012
Yastrzemski, Mike,573262,2023,285,181,0.233,0.24,-0.0069999999999999,0.439,0.442,-0.003,0.322,0.329,-0.007
Ramírez, Harold,623912,2023,285,208,0.284,0.266,0.0179999999999999,0.437,0.408,0.029,0.333,0.32,0.013
Kiermaier, Kevin,595281,2023,282,199,0.276,0.276,0.0,0.425,0.373,0.0519999999999999,0.332,0.321,0.011
Belt, Brandon,474832,2023,280,136,0.243,0.201,0.0419999999999999,0.421,0.374,0.0469999999999999,0.341,0.311,0.03
Walls, Taylor,670764,2023,279,171,0.211,0.203,0.0079999999999999,0.36,0.303,0.0569999999999999,0.302,0.281,0.0209999999999999
Peralta, David,444482,2023,277,216,0.274,0.291,-0.0169999999999999,0.409,0.442,-0.033,0.31,0.334,-0.024
Castro, Willi,650489,2023,276,175,0.247,0.248,-0.001,0.37,0.391,-0.021,0.311,0.32,-0.009
Bryant, Kris,592178,2023,275,195,0.251,0.26,-0.009,0.379,0.424,-0.0449999999999999,0.32,0.34,-0.02
Olivares, Edward,658668,2023,274,208,0.246,0.268,-0.022,0.409,0.441,-0.032,0.305,0.333,-0.028
Lowe, Brandon,664040,2023,274,164,0.226,0.219,0.007,0.439,0.429,0.01,0.33,0.326,0.004
Maldonado, Martín,455117,2023,272,162,0.169,0.18,-0.0109999999999999,0.302,0.331,-0.029,0.241,0.257,-0.016
